,TRANSACTION_AMT,CAND_NAME,CAND_OFFICE_ST,CAND_OFFICE,candidate_score,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
H8TX21307,1000,"ROY, CHIP",TX,H,0%,,,0%,HOUSE,,
H8VA06104,2500,"CLINE, BENJAMIN LEE",VA,H,0%,,,0%,HOUSE,,
H8IN04199,2500,"BAIRD, JAMES R DR.",IN,H,1%,,,3%,HOUSE,,
H8OH12180,1000,"BALDERSON, WILLIAM TROY",OH,H,1%,,,3%,HOUSE,,
H8OK01157,1000,"HERN, KEVIN R",OK,H,1%,,,3%,HOUSE,,
H8PA13125,1000,"JOYCE, JOHN",PA,H,1%,,,3%,HOUSE,,
H8TN06094,3500,"ROSE, JOHN W.",TN,H,1%,,,3%,HOUSE,,
H4AR02141,4000,"HILL, JAMES FRENCH",AR,H,10%,11%,HOUSE,10%,HOUSE,9%,HOUSE
H8CA04152,1000,"MCCLINTOCK, THOMAS",CA,H,10%,21%,HOUSE,3%,HOUSE,6%,HOUSE
H6FL04105,1000,"RUTHERFORD, JOHN",FL,H,10%,3%,HOUSE,17%,HOUSE,9%,HOUSE
H2IL20042,2500,"SHIMKUS, JOHN M",IL,H,10%,4%,HOUSE,10%,HOUSE,16%,HOUSE
H6KY01110,2500,"COMER, JAMES",KY,H,10%,14%,HOUSE,7%,HOUSE,9%,HOUSE
H4MI04118,1000,"MITCHELL, PAUL III",MI,H,10%,7%,HOUSE,7%,HOUSE,16%,HOUSE
H4MI04126,1000,"MOOLENAAR, JOHN MR.",MI,H,10%,4%,HOUSE,14%,HOUSE,13%,HOUSE
H6MS01131,1000,"KELLY, JOHN TRENT TRENT",MS,H,10%,14%,HOUSE,7%,HOUSE,9%,HOUSE
H2NV02395,1000,"AMODEI, MARK EUGENE",NV,H,10%,4%,HOUSE,10%,HOUSE,16%,HOUSE
H8PA05071,1000,"THOMPSON, GLENN MR.",PA,H,10%,7%,HOUSE,7%,HOUSE,16%,HOUSE
H0SC03077,1000,"DUNCAN, JEFFREY D MR.",SC,H,10%,19%,HOUSE,7%,HOUSE,3%,HOUSE
H0TX23086,7500,"HURD, WILLIAM",TX,H,10%,7%,HOUSE,,,22%,HOUSE
H6FL09070,1000,"BILIRAKIS, GUS M",FL,H,11%,4%,HOUSE,21%,HOUSE,9%,HOUSE
H8FL06148,3000,"WALTZ, MICHAEL",FL,H,11%,,,34%,HOUSE,,
H0IL11052,2500,"KINZINGER, ADAM",IL,H,11%,4%,HOUSE,14%,HOUSE,16%,HOUSE
H0IN08114,1000,"BUCSHON, LARRY D.",IN,H,11%,4%,HOUSE,10%,HOUSE,19%,HOUSE
H8OH15076,1000,"STIVERS, STEVE MR.",OH,H,11%,8%,HOUSE,10%,HOUSE,16%,HOUSE
H0PA03271,2500,"KELLY, GEORGE J JR",PA,H,11%,7%,HOUSE,7%,HOUSE,19%,HOUSE
H2PA04135,2000,"PERRY, SCOTT",PA,H,11%,21%,HOUSE,3%,HOUSE,9%,HOUSE
H4WV02080,1000,"MOONEY, ALEXANDER XAVIER",WV,H,11%,18%,HOUSE,10%,HOUSE,6%,HOUSE
H6AZ05083,2500,"BIGGS, ANDY MR.",AZ,H,12%,26%,HOUSE,0%,HOUSE,9%,HOUSE
H4GA11061,2000,"LOUDERMILK, BARRY",GA,H,12%,22%,HOUSE,7%,HOUSE,6%,HOUSE
H6MI01226,1000,"BERGMAN, JOHN",MI,H,12%,11%,HOUSE,17%,HOUSE,9%,HOUSE
H4NC10047,5000,"MCHENRY, PATRICK TIMOTHY",NC,H,12%,4%,HOUSE,24%,HOUSE,9%,HOUSE
H0WV01072,1000,"MCKINLEY, DAVID B. MR.",WV,H,12%,4%,HOUSE,7%,HOUSE,25%,HOUSE
H4AZ06045,2500,"SCHWEIKERT, DAVID S.",AZ,H,13%,18%,HOUSE,14%,HOUSE,6%,HOUSE
H4IL12060,1000,"BOST, MICHAEL",IL,H,13%,7%,HOUSE,10%,HOUSE,22%,HOUSE
H6OH08315,1000,"DAVIDSON, WARREN",OH,H,13%,26%,HOUSE,7%,HOUSE,6%,HOUSE
H4TX10093,2500,"MCCAUL, MICHAEL",TX,H,13%,4%,HOUSE,21%,HOUSE,13%,HOUSE
H4WA05077,10000,"MCMORRIS RODGERS, CATHY",WA,H,13%,11%,HOUSE,10%,HOUSE,19%,HOUSE
H2IL13120,4500,"DAVIS, RODNEY L",IL,H,14%,7%,HOUSE,17%,HOUSE,19%,HOUSE
H0VA09055,7500,"GRIFFITH, H MORGAN",VA,H,14%,21%,HOUSE,7%,HOUSE,13%,HOUSE
H6AK00045,1000,"YOUNG, DONALD E",AK,H,15%,15%,HOUSE,10%,HOUSE,19%,HOUSE
H8ID02064,1000,"SIMPSON, MICHAEL",ID,H,15%,4%,HOUSE,21%,HOUSE,19%,HOUSE
H4LA06153,2000,"GRAVES, GARRET",LA,H,15%,18%,HOUSE,17%,HOUSE,9%,HOUSE
H6OR02116,3000,"WALDEN, GREGORY P. MR.",OR,H,15%,7%,HOUSE,21%,HOUSE,16%,HOUSE
H4WA04104,1000,"NEWHOUSE, DAN",WA,H,15%,12%,HOUSE,14%,HOUSE,19%,HOUSE
H6FL13148,10000,"BUCHANAN, VERNON",FL,H,17%,7%,HOUSE,31%,HOUSE,13%,HOUSE
H6IN09176,4500,"HOLLINGSWORTH, TREY",IN,H,17%,7%,HOUSE,34%,HOUSE,9%,HOUSE
H6NE02125,1000,"BACON, DONALD J",NE,H,18%,7%,HOUSE,34%,HOUSE,13%,HOUSE
H0NY29054,3500,"REED, THOMAS W",NY,H,18%,15%,HOUSE,21%,HOUSE,19%,HOUSE
H8NY01148,2000,"ZELDIN, LEE MICHAEL",NY,H,19%,14%,HOUSE,28%,HOUSE,16%,HOUSE
H2OH14064,2000,"JOYCE, DAVID P",OH,H,19%,14%,HOUSE,21%,HOUSE,22%,HOUSE
H0WA03187,3000,"HERRERA BEUTLER, JAIME",WA,H,19%,18%,HOUSE,24%,HOUSE,16%,HOUSE
H8FL17053,2500,"STEUBE, GREG",FL,H,2%,,,7%,HOUSE,,
H8MN08043,1000,"STAUBER, PETER ALLEN",MN,H,2%,,,7%,HOUSE,,
H8PA18199,5000,"RESCHENTHALER, GUY MR.",PA,H,2%,,,7%,HOUSE,,
