committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,MY,2.01907E+17,23,D1E245884AD0B177BA8,1344655,CCM,CAMPAIGN COMMITTEE,C00472159,C00472159,DENNY HECK FOR CONGRESS,WA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/10/18 DISBURSEMENT,,,1/28/19 0:00,-2500,H,HOUSE,10,H0WA03161,"HECK, DENNIS",DENNIS,HECK,,,,WA,WASHINGTON,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,32:55.9,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.07292E+18,OLYMPIA,98507,CONTRIBUTIONS,,2020,SB,4.07302E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907299152457311,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,MY,2.01907E+17,23,85473AEFDCCC1C7558E,1344655,CCM,CAMPAIGN COMMITTEE,C00289603,C00289603,LOFGREN FOR CONGRESS,CA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 9/25/17 DISBURSEMENT,,,1/28/19 0:00,-2500,H,HOUSE,19,H4CA16049,"LOFGREN, ZOE",ZOE,LOFGREN,,,,CA,CALIFORNIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,32:56.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.07292E+18,SAN JOSE,95126,CONTRIBUTIONS,,2020,SB,4.07302E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907299152457345,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2020,M2,2.02002E+17,23,0E3E483553652B1BB80,1384559,PAC,POLITICAL ACTION COMMITTEE,C00552539,C00552539,MAKE IT WORK PAC,DC,MAKE IT WORK PAC,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 7/17/19 DISBURSEMENT,,,1/31/20 0:00,-2000,,,,,,,,,,,,,P2019,CONTRIBUTION,PRIMARY,2019,A,ADD,ITEMIZED DISBURSEMENTS,37:30.1,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.02202E+18,WASHINGTON,20005,CONTRIBUTIONS,,2020,SB,4.03042E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202002209186875390,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,YE,2.02001E+17,23,E707D3665C4F8682E9D,1378595,CCM,CAMPAIGN COMMITTEE,C00376665,C00376665,COOPER FOR CONGRESS,TN,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/12/19 DISBURSEMENT,,,11/30/19 0:00,-1000,H,HOUSE,5,H2TN05131,"COOPER, JAMES HAYES",JAMES,COOPER,HAYES,,,TN,TENNESSEE,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,30:18.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.01312E+18,NASHVILLE,37219,CONTRIBUTIONS,,2020,SB,4.02122E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202001319184864215,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2020,M2,2.02002E+17,23,945813BD8C223CF7A3C,1384559,CCM,CAMPAIGN COMMITTEE,C00450049,C00450049,PAUL TONKO FOR CONGRESS,NY,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/27/19 DISBURSEMENT,,,1/31/20 0:00,-1000,H,HOUSE,20,H8NY21203,"TONKO, PAUL DAVID",PAUL,TONKO,DAVID,,,NY,NEW YORK,P2020,,PRIMARY,2020,A,ADD,ITEMIZED DISBURSEMENTS,37:30.1,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.02202E+18,ALBANY,12206,CONTRIBUTIONS,,2020,SB,4.03042E+18,http://docquery.fec.gov/cgi-bin/fecimg/?202002209186875390,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,MY,2.01907E+17,23,00379BACC71E650D17D,1344655,CCM,CAMPAIGN COMMITTEE,C00096412,C00096412,FRIENDS OF CHRIS SMITH,NJ,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 6/15/18 DISBURSEMENT,,,1/28/19 0:00,-1000,H,HOUSE,4,H8NJ04014,"SMITH, CHRISTOPHER H.",CHRISTOPHER,SMITH,H.,,,NJ,NEW JERSEY,G2018,,GENERAL,2018,A,ADD,ITEMIZED DISBURSEMENTS,32:56.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.07292E+18,HAMILTON,86190184,CONTRIBUTIONS,,2020,SB,4.07302E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907299152457320,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,MY,2.01907E+17,23,8DF8B52BB7A02A72C13,1344655,CCM,CAMPAIGN COMMITTEE,C00368522,C00368522,JOE WILSON FOR CONGRESS,SC,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 7/28/17 DISBURSEMENT,,,1/28/19 0:00,-1000,H,HOUSE,2,H2SC02059,"WILSON, JOE",JOE,WILSON,,,,SC,SOUTH CAROLINA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,32:56.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.07292E+18,WEST COLUMBIA,291712145,CONTRIBUTIONS,,2020,SB,4.07302E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907299152457336,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,MY,2.01907E+17,23,1E3DA2F66042040881A,1344655,CCM,CAMPAIGN COMMITTEE,C00441014,C00441014,ROB WITTMAN FOR CONGRESS,VA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 3/14/18 DISBURSEMENT,,,1/28/19 0:00,-1000,H,HOUSE,1,H8VA01147,"WITTMAN, ROBERT JOSEPH",ROBERT,WITTMAN,JOSEPH,,,VA,VIRGINIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,32:56.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.07292E+18,ALEXANDRIA,22313,CONTRIBUTIONS,,2020,SB,4.07302E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907299152457366,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,MY,2.01907E+17,23,77BAD9C0C886B588F1A,1344655,CCM,CAMPAIGN COMMITTEE,C00366948,C00366948,STEPHEN LYNCH FOR CONGRESS,MA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 11/15/17 DISBURSEMENT,,,1/28/19 0:00,-1000,H,HOUSE,8,H2MA09072,"LYNCH, STEPHEN FRANCIS",STEPHEN,LYNCH,FRANCIS,,,MA,MASSACHUSETTS,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,32:56.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.07292E+18,SOUTH BOSTON,2127,CONTRIBUTIONS,,2020,SB,4.07302E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907299152457373,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00360354,AMAZON.COM SERVICES LLC SEPARATE SEGREGATED FUND (AMAZON PAC),2019,MY,2.01907E+17,23,B1B6EEB3DD41378D6D2,1344655,CCM,CAMPAIGN COMMITTEE,C00554899,C00554899,VESTED PAC,PA,,,24K,CONTRIBUTION MADE TO NON-AFFILIATED,VOIDED 3/20/18 DISBURSEMENT,,,1/28/19 0:00,-1000,H,HOUSE,6,H0PA06076,"COSTELLO, RYAN A.",RYAN,COSTELLO,A.,,,PA,PENNSYLVANIA,P2018,,PRIMARY,2018,A,ADD,ITEMIZED DISBURSEMENTS,32:56.0,,,,0,,,,11,Political Contributions,,,,,,,Q,C,B,F3X,4.07292E+18,UWCHLAND,194800245,CONTRIBUTIONS,,2020,SB,4.07302E+18,http://docquery.fec.gov/cgi-bin/fecimg/?201907299152457381,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
