first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Bradley,Byrne,"Byrne, Bradley",H4AL01123,4%,HOUSE,3%,HOUSE,6%,HOUSE
Martha,Roby,"Roby, Martha",H0AL02087,3%,HOUSE,3%,HOUSE,9%,HOUSE
Mike,Rogers,"Rogers, Mike",H2AL03032,4%,HOUSE,3%,HOUSE,13%,HOUSE
Robert,Aderholt,"Aderholt, Robert",H6AL04098,4%,HOUSE,3%,HOUSE,9%,HOUSE
Mo,Brooks,"Brooks, Mo",H0AL05163,11%,HOUSE,3%,HOUSE,6%,HOUSE
Gary,Palmer,"Palmer, Gary",H4AL06098,7%,HOUSE,0%,HOUSE,6%,HOUSE
Terri,Sewell,"Sewell, Terri",H0AL07086,79%,HOUSE,97%,HOUSE,94%,HOUSE
Don,Young,"Young, Don",H6AK00045,15%,HOUSE,10%,HOUSE,19%,HOUSE
Tom,O'Halleran,"O'Halleran, Tom",H6AZ01199,68%,HOUSE,97%,HOUSE,88%,HOUSE
Ann,Kirkpatrick,"Kirkpatrick, Ann",H8AZ01104,NaN,NaN,95%,HOUSE,NaN,NaN
Martha,McSally,"McSally, Martha",S8AZ00221,7%,HOUSE,NaN,NaN,13%,HOUSE
Raúl,Grijalva,"Grijalva, Raúl",H2AZ07070,89%,HOUSE,97%,HOUSE,100%,HOUSE
Paul,Gosar,"Gosar, Paul",H0AZ01259,29%,HOUSE,NaN,NaN,9%,HOUSE
Andy,Biggs,"Biggs, Andy",H6AZ05083,26%,HOUSE,0%,HOUSE,9%,HOUSE
David,Schweikert,"Schweikert, David",H4AZ06045,18%,HOUSE,14%,HOUSE,6%,HOUSE
Ruben,Gallego,"Gallego, Ruben",H4AZ07043,89%,HOUSE,97%,HOUSE,100%,HOUSE
Debbie,Lesko,"Lesko, Debbie",H8AZ08158,NaN,NaN,3%,HOUSE,NaN,NaN
Kyrsten,Sinema,"Sinema, Kyrsten",H2AZ09019,64%,HOUSE,NaN,NaN,72%,HOUSE
Greg,Stanton,"Stanton, Greg",H8AZ09040,NaN,NaN,97%,HOUSE,NaN,NaN
Rick,Crawford,"Crawford, Rick",H0AR01083,4%,HOUSE,7%,HOUSE,9%,HOUSE
French,Hill,"Hill, French",H4AR02141,11%,HOUSE,10%,HOUSE,9%,HOUSE
Steve,Womack,"Womack, Steve",H0AR03055,4%,HOUSE,7%,HOUSE,9%,HOUSE
Bruce,Westerman,"Westerman, Bruce",H4AR04048,7%,HOUSE,3%,HOUSE,9%,HOUSE
Doug,LaMalfa,"LaMalfa, Doug",H2CA02142,4%,HOUSE,7%,HOUSE,6%,HOUSE
Jared,Huffman,"Huffman, Jared",H2CA06259,93%,HOUSE,100%,HOUSE,97%,HOUSE
John,Garamendi,"Garamendi, John",H0CA10149,75%,HOUSE,87%,HOUSE,94%,HOUSE
Tom,McClintock,"McClintock, Tom",H8CA04152,21%,HOUSE,3%,HOUSE,6%,HOUSE
Mike,Thompson,"Thompson, Mike",H8CA01109,75%,HOUSE,90%,HOUSE,94%,HOUSE
Doris,Matsui,"Matsui, Doris",H6CA05195,89%,HOUSE,97%,HOUSE,97%,HOUSE
Ami,Bera,"Bera, Ami",H0CA03078,71%,HOUSE,97%,HOUSE,88%,HOUSE
Paul,Cook,"Cook, Paul",H2CA08164,7%,HOUSE,14%,HOUSE,19%,HOUSE
Jerry,McNerney,"McNerney, Jerry",H4CA11081,88%,HOUSE,97%,HOUSE,97%,HOUSE
Jeff,Denham,"Denham, Jeff",H0CA19173,11%,HOUSE,NaN,NaN,22%,HOUSE
Josh,Harder,"Harder, Josh",H8CA10126,NaN,NaN,97%,HOUSE,NaN,NaN
Mark,DeSaulnier,"DeSaulnier, Mark",H0CA10073,96%,HOUSE,100%,HOUSE,100%,HOUSE
Nancy,Pelosi,"Pelosi, Nancy",H8CA05035,77%,HOUSE,NaN,NaN,97%,HOUSE
Barbara,Lee,"Lee, Barbara",H8CA09060,96%,HOUSE,100%,HOUSE,100%,HOUSE
Jackie,Speier,"Speier, Jackie",H8CA12171,82%,HOUSE,93%,HOUSE,81%,HOUSE
Eric,Swalwell,"Swalwell, Eric",H2CA15094,78%,HOUSE,62%,HOUSE,88%,HOUSE
Jim,Costa,"Costa, Jim",H4CA20082,60%,HOUSE,79%,HOUSE,59%,HOUSE
Ro,Khanna,"Khanna, Ro",H4CA12055,93%,HOUSE,97%,HOUSE,100%,HOUSE
