first_name,last_name,full_name,cand_id,2017_aclu_score,2017_aclu_vote_office,2019_environment_score,2019_environment_vote_office,2017_naacp_score,2017_naacp_vote_office
Bradley,Byrne,"Byrne, Bradley",H4AL01123,0.04,HOUSE,0.03,HOUSE,0.06,HOUSE
Martha,Roby,"Roby, Martha",H0AL02087,0.03,HOUSE,0.03,HOUSE,0.09,HOUSE
Mike,Rogers,"Rogers, Mike",H2AL03032,0.04,HOUSE,0.03,HOUSE,0.13,HOUSE
Robert,Aderholt,"Aderholt, Robert",H6AL04098,0.04,HOUSE,0.03,HOUSE,0.09,HOUSE
Mo,Brooks,"Brooks, Mo",H0AL05163,0.11,HOUSE,0.03,HOUSE,0.06,HOUSE
Gary,Palmer,"Palmer, Gary",H4AL06098,0.07,HOUSE,0,HOUSE,0.06,HOUSE
Terri,Sewell,"Sewell, Terri",H0AL07086,0.79,HOUSE,0.97,HOUSE,0.94,HOUSE
Don,Young,"Young, Don",H6AK00045,0.15,HOUSE,0.1,HOUSE,0.19,HOUSE
Tom,O'Halleran,"O'Halleran, Tom",H6AZ01199,0.68,HOUSE,0.97,HOUSE,0.88,HOUSE
Ann,Kirkpatrick,"Kirkpatrick, Ann",H8AZ01104,,,0.95,HOUSE,,
Martha,McSally,"McSally, Martha",S8AZ00221,0.07,HOUSE,,,0.13,HOUSE
Raúl,Grijalva,"Grijalva, Raúl",H2AZ07070,0.89,HOUSE,0.97,HOUSE,1,HOUSE
Paul,Gosar,"Gosar, Paul",H0AZ01259,0.29,HOUSE,,,0.09,HOUSE
Andy,Biggs,"Biggs, Andy",H6AZ05083,0.26,HOUSE,0,HOUSE,0.09,HOUSE
David,Schweikert,"Schweikert, David",H4AZ06045,0.18,HOUSE,0.14,HOUSE,0.06,HOUSE
Ruben,Gallego,"Gallego, Ruben",H4AZ07043,0.89,HOUSE,0.97,HOUSE,1,HOUSE
Debbie,Lesko,"Lesko, Debbie",H8AZ08158,,,0.03,HOUSE,,
Kyrsten,Sinema,"Sinema, Kyrsten",H2AZ09019,0.64,HOUSE,,,0.72,HOUSE
Greg,Stanton,"Stanton, Greg",H8AZ09040,,,0.97,HOUSE,,
Rick,Crawford,"Crawford, Rick",H0AR01083,0.04,HOUSE,0.07,HOUSE,0.09,HOUSE
French,Hill,"Hill, French",H4AR02141,0.11,HOUSE,0.1,HOUSE,0.09,HOUSE
Steve,Womack,"Womack, Steve",H0AR03055,0.04,HOUSE,0.07,HOUSE,0.09,HOUSE
Bruce,Westerman,"Westerman, Bruce",H4AR04048,0.07,HOUSE,0.03,HOUSE,0.09,HOUSE
Doug,LaMalfa,"LaMalfa, Doug",H2CA02142,0.04,HOUSE,0.07,HOUSE,0.06,HOUSE
Jared,Huffman,"Huffman, Jared",H2CA06259,0.93,HOUSE,1,HOUSE,0.97,HOUSE
John,Garamendi,"Garamendi, John",H0CA10149,0.75,HOUSE,0.87,HOUSE,0.94,HOUSE
